New Delhi Delhi IND
December to December - daily simulation
28.58
216
Temp	WindVel	WindDir	SDirR	SDiffR	DTemp	DWVel	DWDir	DSDirR	DSDiffR	omega	Domega	Declination
14.1	0	119	0	0	-2.7	0	-119	0	0	0.0069	-0.0002	-23.35
11.4	0	0	0	0	-1.3	0.1	0	0	0	0.0067	-0.0002	-23.35
10.1	0.1	0	0	0	-0.8	0	0	0	0	0.0065	-0.0002	-23.35
9.3	0.1	0	0	0	0.3	-0.1	0	0	0	0.0063	-0.0001	-23.35
9.6	0	0	0	0	-0.2	0	0	0	0	0.0062	-0.0001	-23.35
9.4	0	0	0	0	0.1	0	7	0	0	0.0061	-0.0001	-23.35
9.5	0	7	0	0	-0.7	0	-7	0	0	0.006	-0.0002	-23.35
8.8	0	0	0	0	-0.4	0.1	63	0	0	0.0058	-0.0001	-23.35
8.4	0.1	63	0	0	-1	0.3	58	0	0	0.0057	-0.0002	-23.35
7.4	0.4	121	0	0	0.6	0.2	149	0	0	0.0055	0	-23.35
8	0.6	270	0	0	-0.6	0.1	28	0	0	0.0055	-0.0002	-23.35
7.4	0.7	298	0	0	0.9	0.3	31	0	0	0.0053	0.0001	-23.35
8.3	1	329	0	0	1.1	0.1	-37	0	0	0.0054	0	-23.35
9.4	1.1	292	0	0	3.3	0.2	6	322	56	0.0054	0.0003	-23.35
12.7	1.3	298	322	56	3	-0.1	-30	518	-11	0.0057	0.0002	-23.35
15.7	1.2	268	840	45	3.5	-0.1	24	293	-27	0.0059	0.0003	-23.35
19.2	1.1	292	1133	18	1.6	-0.2	-12	-389	92	0.0062	-0.0002	-23.35
20.8	0.9	280	744	110	1.2	-0.2	44	-33	20	0.006	0.0001	-23.35
22	0.7	324	711	130	-0.4	-0.1	13	-326	86	0.0061	-0.0003	-23.35
21.6	0.6	337	385	216	0	0	-305	108	-56	0.0058	0.0003	-23.35
21.6	0.6	32	493	160	-1.5	0	-22	-280	-1	0.0061	0.0003	-23.35
20.1	0.6	10	213	159	-1.1	0	327	-112	-73	0.0064	0.0004	-23.35
19	0.6	337	101	86	-2.6	-0.2	-128	-101	-86	0.0068	0.0001	-23.35
16.4	0.4	209	0	0	-1.9	-0.2	-98	0	0	0.0069	0	-23.35
14.5	0.2	111	0	0	-2.3	-0.2	-111	0	0	0.0069	-0.0002	-23.35
12.2	0	0	0	0	-0.6	0	0	0	0	0.0067	0.0001	-23.35
11.6	0	0	0	0	-0.9	0	0	0	0	0.0068	-0.0001	-23.35
10.7	0	0	0	0	0.1	0	0	0	0	0.0067	0.0001	-23.35
10.8	0	0	0	0	-1	0	0	0	0	0.0068	-0.0003	-23.35
9.8	0	0	0	0	-0.3	0	0	0	0	0.0065	-0.0003	-23.35
9.5	0	0	0	0	-1.1	0	0	0	0	0.0062	-0.0004	-23.35
8.4	0	0	0	0	0.1	0.2	88	0	0	0.0058	-0.0001	-23.35
8.5	0.2	88	0	0	-0.7	0.1	72	0	0	0.0057	-0.0002	-23.35
7.8	0.3	160	0	0	1	0.3	155	0	0	0.0055	0.0007	-23.35
8.8	0.6	315	0	0	-0.9	0.1	29	0	0	0.0062	0	-23.35
7.9	0.7	344	0	0	0.6	0	-1	0	0	0.0062	0	-23.35
8.5	0.7	343	0	0	1.3	-0.1	-73	0	0	0.0062	0.0001	-23.35
9.8	0.6	270	0	0	3.4	-0.2	-41	154	55	0.0063	0.0001	-23.35
13.2	0.4	229	154	55	3.5	0	-52	554	8	0.0064	0.0003	-23.35
16.7	0.4	177	708	63	3.7	0.2	3	125	6	0.0067	0.0005	-23.35
20.4	0.6	180	833	69	1.8	0.2	-25	178	-22	0.0072	0.0001	-23.35
22.2	0.8	155	1011	47	0.9	0.3	1	-72	22	0.0073	0.0003	-23.35
23.1	1.1	156	939	69	-0.9	0	-44	-818	174	0.0076	-0.0001	-23.35
22.2	1.1	112	121	243	-0.8	-0.2	-22	145	-29	0.0075	0	-23.35
21.4	0.9	90	266	214	-1.8	-0.5	-63	-220	-88	0.0075	-0.0001	-23.35
19.6	0.4	27	46	126	-1.2	-0.4	-27	3	-51	0.0074	0	-23.35
18.4	0	0	49	75	-2.1	0	0	-49	-75	0.0074	-0.0001	-23.35
16.3	0	0	0	0	-1.3	0	0	0	0	0.0073	0	-23.35
15	0	0	0	0	-1.8	0	0	0	0	0.0073	0	-23.35
13.2	0	0	0	0	-0.7	0.3	69	0	0	0.0073	0	-23.35
12.5	0.3	69	0	0	-0.9	0.3	15	0	0	0.0073	-0.0002	-23.35
11.6	0.6	84	0	0	-0.2	0	6	0	0	0.0071	0	-23.35
11.4	0.6	90	0	0	-0.8	-0.2	-62	0	0	0.0071	-0.0003	-23.35
10.6	0.4	28	0	0	-0.1	-0.3	-22	0	0	0.0068	-0.0002	-23.35
